0,1360,11.9,1046,1056,1268,13.6,48.9,0.7578,1692
1,1292,9.4,955,1174,972,13.3,47.7,0.7255,1559
2,1402,9,939,1140,1074,11.9,54,0.7502,1555
3,1376,9.2,948,1092,1203,11,60,0.7867,1584
4,1272,6.5,836,1205,1110,11.2,59.6,0.7888,1490
5,1197,4.7,750,1337,949,11.2,59.2,0.7848,1393
6,1185,3.6,690,1462,733,11.3,56.8,0.7603,1333
7,1136,3.3,672,1453,730,10.7,60,0.7702,1333
8,1094,2.3,609,1579,620,10.7,59.7,0.7648,1276
9,1010,1.7,561,1705,501,10.3,60.2,0.7517,1235
10,1011,1.3,527,1818,445,10.1,60.5,0.7465,1197
11,1066,1.1,512,1918,422,11,56.2,0.7366,1182
12,1052,1.6,553,1738,472,10.5,58.1,0.7353,1221
13,1144,3.2,667,1490,730,10.2,59.6,0.7417,1339
14,1333,8,900,1136,1102,10.8,57.4,0.7408,1517
15,1351,9.5,960,1079,1028,10.5,60.6,0.7691,1583
16,1233,6.3,827,1218,860,10.8,58.4,0.7552,1446
17,1179,5,762,1328,671,10.5,57.9,0.7352,1362
18,1236,5.2,774,1301,664,9.5,66.8,0.7951,1401
19,1286,7.3,869,1162,799,8.3,76.4,0.8393,1537
20,1371,11.5,1034,983,1037,8,81.1,0.8736,1730
21,1310,8.8,933,1082,946,8.3,79.8,0.8778,1647
22,1292,8.3,912,1103,957,9.7,71.2,0.8569,1591
23,1383,11.2,1020,1008,1104,9.8,67.6,0.8185,1719
24,1581,20.8,1319,799,1409,10.3,64.2,0.8065,2083
25,1776,27.4,1488,702,1704,9.7,69.3,0.8319,2333
26,1640,24,1404,743,1654,9.6,67.8,0.8133,2191
27,1313,12.8,1076,957,1285,9.1,64,0.7419,1707
28,965,4.7,749,1325,821,8.2,63.4,0.6905,1333
29,913,2.6,629,1565,552,8.2,60.8,0.6657,1252
30,1080,5.9,805,1254,816,8.3,58.5,0.6438,1375
31,1044,6.4,829,1247,832,7.7,59.7,0.6308,1378
32,988,4.1,718,1396,692,7.1,61.8,0.6276,1304
33,889,1.9,574,1680,512,7,62.3,0.6261,1187
34,831,1.1,506,1893,384,6.1,65.9,0.6248,1134
35,847,1,501,1895,394,6.3,65,0.6233,1155
36,927,1.8,571,1685,487,6.8,62.9,0.6234,1223
37,1091,4.4,730,1387,748,6.4,65.1,0.6316,1361
38,1587,17.9,1236,897,1400,7.3,63.1,0.6499,1900
39,1545,22.1,1353,767,1588,9.2,56.2,0.6561,2058
40,1350,14,1118,912,1237,13.2,41.7,0.632,1712
41,1263,11.6,1037,969,1167,14.3,38.4,0.6243,1598
42,1206,10.2,986,1035,959,15,36.5,0.6195,1537
43,1252,11,1016,1008,983,16.1,34.5,0.6262,1593
44,1287,12.8,1078,949,1061,16.3,35.7,0.656,1660
45,1353,14.2,1122,922,1139,15.8,37,0.661,1740
46,1309,12.7,1073,954,1112,15.9,37.2,0.6657,1657
47,1274,11.7,1041,1006,994,16.9,34.3,0.6549,1610
48,1510,19.3,1277,812,1410,15.1,39.6,0.6766,1910
49,1525,18.2,1246,821,1448,14.4,43.4,0.7084,1847
50,1843,32.6,1610,624,1887,12.9,50.5,0.7478,2390
51,1598,20.1,1299,752,1627,12.1,53.3,0.7536,1941
52,1484,14.3,1127,839,1491,11,59.1,0.774,1723
53,1677,21.8,1346,741,1657,9.7,64.6,0.7771,2062
54,1280,9.6,964,963,1285,9.5,64.1,0.7597,1544
55,1196,7.4,873,1071,1144,9.1,63.9,0.7423,1463
56,1184,5.4,782,1176,1043,8.8,63.9,0.7256,1365
57,1172,5.4,783,1179,996,7.8,67.5,0.7173,1380
58,1147,6.2,821,1132,992,7,71.1,0.7158,1412
59,978,2.6,625,1420,819,8.3,63.6,0.6982,1274
60,1100,2.9,646,1406,835,7.2,67.5,0.6887,1268
61,1112,5.1,770,1228,940,6.3,71.9,0.6932,1409
62,1336,11.8,1043,935,1192,6.5,71.6,0.6945,1678
63,1408,15.1,1153,830,1411,9.6,59.7,0.7124,1777
64,1447,12.9,1081,869,1465,12.4,51.2,0.7335,1667
65,1542,16.1,1184,808,1583,15.6,42.2,0.7451,1780
66,1451,14,1117,875,1387,18.4,33.8,0.709,1679
67,1328,12.3,1059,987,1101,19.4,31.3,0.695,1600
68,1207,8.6,924,1088,850,18,34.8,0.7127,1488
69,1240,9.2,947,1049,947,18.4,33.6,0.7042,1532
70,1306,10.2,987,1004,1078,17.6,35.1,0.7012,1554
71,1326,10.6,1000,976,1084,16.7,37.8,0.7117,1602
72,1473,15.5,1163,831,1395,16.1,41,0.7451,1779
73,1609,19.6,1286,758,1612,15.8,42.4,0.7569,1922
74,1611,19.2,1274,754,1697,15.7,44.1,0.7786,1915
75,1621,18.3,1247,762,1886,15.3,46.8,0.8091,1860
76,1444,13.1,1089,844,1624,14.6,48.6,0.806,1748
77,1418,10.9,1010,892,1536,14.7,49.3,0.8193,1603
78,1534,11,1013,889,1535,13.9,53.6,0.8498,1611
79,1484,11.9,1045,880,1530,14.6,51.5,0.8536,1624
80,1367,8.6,925,953,1337,12.5,58.9,0.8537,1543
81,1344,9.7,968,921,1278,11.6,63.4,0.8674,1620
82,1130,5.2,773,1130,1051,12.1,61.1,0.8603,1452
83,1062,3.7,691,1272,929,11.5,63.1,0.8533,1377
84,1076,2.5,618,1395,872,11.6,62.2,0.8473,1333
85,1028,2.4,615,1384,853,10.4,67.6,0.853,1340
86,1155,4.2,722,1225,959,11.6,62.7,0.853,1414
87,1235,6.4,828,1055,1093,12.4,60,0.8627,1527
88,1332,8.6,923,952,1225,14.5,53.1,0.8728,1614
89,1445,10.9,1009,878,1355,16.9,46.1,0.8789,1696
90,1416,10.7,1002,907,1262,19.3,38.3,0.8474,1677
91,1281,7.5,880,1084,980,21.2,31.4,0.7812,1525
92,1207,7.5,879,1104,872,21.4,30.2,0.7616,1490
93,1258,8.2,906,1081,900,21.9,29,0.7525,1511
94,1458,11.9,1045,974,1099,22.2,28.4,0.7516,1646
95,1438,12,1051,943,1206,21.3,30.8,0.7696,1668
96,1478,12.2,1055,929,1262,19.7,36.7,0.8307,1671
97,1808,20.6,1312,753,1698,18.4,41.7,0.8732,1993
98,1898,23.1,1381,681,1905,17.6,46.1,0.921,2103
99,1560,14.7,1140,784,1648,16.7,49.6,0.932,1818
